# -*- coding: utf-8 -*-
# fbfsr, fbfar, fmfns, fmfmf
item,sentence,cat
1,"Cet artisan a une bonne réputation.",fbfsr
2,"Ces chaussures me semblent très confortables.",fbfsr
3,"Le chat de la voisine a encore fugué.",fbfsr
4,"Les oranges sont des fruits de la famille des agrumes.",fbfsr
5,"Elle a décidé de sortir malgré la chaleur torride.",fbfsr
6,"Il a des collègues de bureau vraiment agréables.",fbfsr
7,"Ils ont prévu de construire un immeuble de dix étages en plein centre-ville.",fbfsr
8,"Je vais souvent en vacances au bord de la mer.",fbfsr
9,"Mon père s’est acheté un nouveau manteau pour l’hiver",fbfsr
10," Ma sœur a déniché un joli fauteuil dans une brocante l’autre jour.",fbfsr
11,"Voici l’itinéraire que nous devons suivre.",fbfar
12,"Voilà un travail que je n’aurais pas pu faire.",fbfar
13,"C’est une question que je me suis posée.",fbfar
14,"C’est une amie avec laquelle j’aime beaucoup discuter.",fbfar
15,"Ce sont des modèles que nous n’avons plus en stock.",fbfar
16,"Ce ne sont pas des sujets qu’on a beaucoup abordés.",fbfar
17,"Il ne faut pas croire tout ce qu’on raconte.",fbfar
18,"Ils ont une nouvelle voiture dont ils sont très contents.",fbfar
19,"Mon frère habite dans un petit village où tout se fait en voiture.",fbfar
20,"Le train qu’elle devait prendre a été annulé au dernier moment.",fbfar
21, "Paul a refusé de me dire il allait où.",fmfns
22,"Je sais pas c’est quoi le problème.",fmfns
23,"S’il aurait pris le ferry,  Luc aurait arrivé plus tôt. ",fmfns
24,"Tout le monde regrette qu’il est parti. ",fmfns
25,"J’ai demandé que je sois libéré de mes obligations. ",fmfns
26,"Julia a recommandé à prendre des précautions. ",fmfns
27,"Les collègues ont découvert qu’il soit resté chez lui.",fmfns
28,"Le voisin a conseillé à te reposer. ",fmfns
29,"Ce sont des chaussures qui ne vont pas à personne. ",fmfns
30,"A chaque matin Léa se met au travail. ",fmfns
31,"ll faut que tu pas t’en formalises.",fmfmf
32,"Elle a acheté le livre dont auquel tu m’as parlé.",fmfmf
33,"C’est le facteur en a bu trois.",fmfmf
34,"Max a visité tous villages.",fmfmf
35,"Quand Max vient quoi qu’il fasse.",fmfmf
36,"J’ai très pensé à toi ce week-end. ",fmfmf
37,"Lucie ne sait jamais c’est où où il va. ",fmfmf
38,"Elle se parle à toute seule. ",fmfmf
39,"Mon frère a aimé le dernier film que je suis parti vu. ",fmfmf
40,"Ont vu mangé tous mes amis.",fmfmf

